2023-09-24 15:30:08,457 - MHScrapper - INFO - Ministry of Health data scrapping has started...
2023-09-24 15:30:23,557 - MHScrapper - INFO - getting table tag element for page 1
2023-09-24 15:33:33,605 - MHScrapper - INFO - page:3, row:38
2023-09-24 15:33:34,360 - MHScrapper - INFO - page:3, row:39
2023-09-24 15:33:35,161 - MHScrapper - INFO - page:3, row:40
2023-09-24 15:33:35,957 - MHScrapper - INFO - page:3, row:41
2023-09-24 15:33:36,711 - MHScrapper - INFO - page:3, row:42
2023-09-24 15:33:37,513 - MHScrapper - INFO - page:3, row:43
2023-09-24 15:33:38,325 - MHScrapper - INFO - page:3, row:44
2023-09-24 15:33:39,136 - MHScrapper - INFO - page:3, row:45
2023-09-24 15:33:39,898 - MHScrapper - INFO - page:3, row:46
2023-09-24 15:33:40,659 - MHScrapper - INFO - page:3, row:47
2023-09-24 15:33:41,406 - MHScrapper - INFO - page:3, row:48
2023-09-24 15:33:42,165 - MHScrapper - INFO - page:3, row:49
2023-09-24 15:33:42,912 - MHScrapper - INFO - page:3, row:50
2023-09-24 15:33:43,652 - MHScrapper - INFO - page:3, row:51
2023-09-24 15:33:44,443 - MHScrapper - INFO - page:3, row:52
2023-09-24 15:33:45,200 - MHScrapper - INFO - page:3, row:53
2023-09-24 15:33:45,939 - MHScrapper - INFO - page:3, row:54
2023-09-24 15:33:46,784 - MHScrapper - INFO - page:3, row:55
2023-09-24 15:33:47,566 - MHScrapper - INFO - page:3, row:56
2023-09-24 15:33:48,365 - MHScrapper - INFO - page:3, row:57
2023-09-24 15:33:49,146 - MHScrapper - INFO - page:3, row:58
2023-09-24 15:33:50,017 - MHScrapper - INFO - page:3, row:59
2023-09-24 15:33:50,842 - MHScrapper - INFO - page:3, row:60
2023-09-24 15:33:51,600 - MHScrapper - INFO - page:3, row:61
2023-09-24 15:33:52,371 - MHScrapper - INFO - page:3, row:62
2023-09-24 15:33:53,111 - MHScrapper - INFO - page:3, row:63
2023-09-24 15:33:53,890 - MHScrapper - INFO - page:3, row:64
2023-09-24 15:33:54,707 - MHScrapper - INFO - page:3, row:65
2023-09-24 15:33:55,431 - MHScrapper - INFO - page:3, row:66
2023-09-24 15:33:56,266 - MHScrapper - INFO - page:3, row:67
2023-09-24 15:33:57,084 - MHScrapper - INFO - page:3, row:68
2023-09-24 15:33:57,831 - MHScrapper - INFO - page:3, row:69
2023-09-24 15:33:58,593 - MHScrapper - INFO - page:3, row:70
2023-09-24 15:33:59,415 - MHScrapper - INFO - page:3, row:71
2023-09-24 15:34:00,205 - MHScrapper - INFO - page:3, row:72
2023-09-24 15:34:01,049 - MHScrapper - INFO - page:3, row:73
2023-09-24 15:34:01,840 - MHScrapper - INFO - page:3, row:74
2023-09-24 15:34:02,644 - MHScrapper - INFO - page:3, row:75
2023-09-24 15:34:03,455 - MHScrapper - INFO - page:3, row:76
2023-09-24 15:34:04,222 - MHScrapper - INFO - page:3, row:77
2023-09-24 15:34:04,992 - MHScrapper - INFO - page:3, row:78
2023-09-24 15:34:05,815 - MHScrapper - INFO - page:3, row:79
2023-09-24 15:34:06,650 - MHScrapper - INFO - page:3, row:80
2023-09-24 15:34:07,444 - MHScrapper - INFO - page:3, row:81
2023-09-24 15:34:08,266 - MHScrapper - INFO - page:3, row:82
2023-09-24 15:34:09,058 - MHScrapper - INFO - page:3, row:83
2023-09-24 15:34:09,841 - MHScrapper - INFO - page:3, row:84
2023-09-24 15:34:10,710 - MHScrapper - INFO - page:3, row:85
2023-09-24 15:34:11,545 - MHScrapper - INFO - page:3, row:86
2023-09-24 15:34:12,351 - MHScrapper - INFO - page:3, row:87
2023-09-24 15:34:13,099 - MHScrapper - INFO - page:3, row:88
2023-09-24 15:34:13,816 - MHScrapper - INFO - page:3, row:89
2023-09-24 15:34:14,540 - MHScrapper - INFO - page:3, row:90
2023-09-24 15:34:15,268 - MHScrapper - INFO - page:3, row:91
2023-09-24 15:34:16,015 - MHScrapper - INFO - page:3, row:92
2023-09-24 15:34:16,738 - MHScrapper - INFO - page:3, row:93
2023-09-24 15:34:17,533 - MHScrapper - INFO - page:3, row:94
2023-09-24 15:34:18,234 - MHScrapper - INFO - page:3, row:95
2023-09-24 15:34:18,963 - MHScrapper - INFO - page:3, row:96
2023-09-24 15:34:19,716 - MHScrapper - INFO - page:3, row:97
2023-09-24 15:34:20,463 - MHScrapper - INFO - page:3, row:98
2023-09-24 15:34:21,212 - MHScrapper - INFO - page:3, row:99
2023-09-24 15:34:21,961 - MHScrapper - INFO - page:3, row:100
2023-09-24 15:34:27,644 - MHScrapper - INFO - getting table tag element for page 4
2023-09-24 15:34:27,702 - MHScrapper - INFO - page:4, row:1
2023-09-24 15:34:28,463 - MHScrapper - INFO - page:4, row:2
2023-09-24 15:34:29,278 - MHScrapper - INFO - page:4, row:3
2023-09-24 15:34:30,045 - MHScrapper - INFO - page:4, row:4
2023-09-24 15:34:30,778 - MHScrapper - INFO - page:4, row:5
2023-09-24 15:34:31,639 - MHScrapper - INFO - page:4, row:6
2023-09-24 15:34:32,412 - MHScrapper - INFO - page:4, row:7
2023-09-24 15:34:33,139 - MHScrapper - INFO - page:4, row:8
2023-09-24 15:34:33,851 - MHScrapper - INFO - page:4, row:9
2023-09-24 15:34:34,570 - MHScrapper - INFO - page:4, row:10
2023-09-24 15:34:35,346 - MHScrapper - INFO - page:4, row:11
2023-09-24 15:34:36,088 - MHScrapper - INFO - page:4, row:12
2023-09-24 15:34:36,795 - MHScrapper - INFO - page:4, row:13
2023-09-24 15:34:37,579 - MHScrapper - INFO - page:4, row:14
2023-09-24 15:34:38,302 - MHScrapper - INFO - page:4, row:15
2023-09-24 15:34:39,004 - MHScrapper - INFO - page:4, row:16
2023-09-24 15:34:39,714 - MHScrapper - INFO - page:4, row:17
2023-09-24 15:34:40,425 - MHScrapper - INFO - page:4, row:18
2023-09-24 15:34:41,130 - MHScrapper - INFO - page:4, row:19
2023-09-24 15:34:41,851 - MHScrapper - INFO - page:4, row:20
2023-09-24 15:34:42,573 - MHScrapper - INFO - page:4, row:21
2023-09-24 15:34:43,304 - MHScrapper - INFO - page:4, row:22
2023-09-24 15:34:43,994 - MHScrapper - INFO - page:4, row:23
2023-09-24 15:34:44,687 - MHScrapper - INFO - page:4, row:24
2023-09-24 15:34:45,413 - MHScrapper - INFO - page:4, row:25
2023-09-24 15:34:46,131 - MHScrapper - INFO - page:4, row:26
2023-09-24 15:34:46,963 - MHScrapper - INFO - page:4, row:27
2023-09-24 15:34:47,693 - MHScrapper - INFO - page:4, row:28
2023-09-24 15:34:48,403 - MHScrapper - INFO - page:4, row:29
2023-09-24 15:34:49,156 - MHScrapper - INFO - page:4, row:30
2023-09-24 15:34:49,864 - MHScrapper - INFO - page:4, row:31
2023-09-24 15:34:50,562 - MHScrapper - INFO - page:4, row:32
2023-09-24 15:34:51,259 - MHScrapper - INFO - page:4, row:33
2023-09-24 15:34:51,966 - MHScrapper - INFO - page:4, row:34
2023-09-24 15:34:52,694 - MHScrapper - INFO - page:4, row:35
2023-09-24 15:34:53,405 - MHScrapper - INFO - page:4, row:36
2023-09-24 15:34:54,135 - MHScrapper - INFO - page:4, row:37
2023-09-24 15:34:54,852 - MHScrapper - INFO - page:4, row:38
2023-09-24 15:34:55,527 - MHScrapper - INFO - page:4, row:39
2023-09-24 15:34:56,201 - MHScrapper - INFO - page:4, row:40
2023-09-24 15:34:56,912 - MHScrapper - INFO - page:4, row:41
2023-09-24 15:34:57,626 - MHScrapper - INFO - page:4, row:42
2023-09-24 15:34:58,351 - MHScrapper - INFO - page:4, row:43
2023-09-24 15:34:59,110 - MHScrapper - INFO - page:4, row:44
2023-09-24 15:34:59,835 - MHScrapper - INFO - page:4, row:45
2023-09-24 15:35:00,573 - MHScrapper - INFO - page:4, row:46
2023-09-24 15:35:01,342 - MHScrapper - INFO - page:4, row:47
2023-09-24 15:35:02,075 - MHScrapper - INFO - page:4, row:48
2023-09-24 15:35:02,789 - MHScrapper - INFO - page:4, row:49
2023-09-24 15:35:03,523 - MHScrapper - INFO - page:4, row:50
2023-09-24 15:35:04,267 - MHScrapper - INFO - page:4, row:51
2023-09-24 15:35:04,967 - MHScrapper - INFO - page:4, row:52
2023-09-24 15:35:05,698 - MHScrapper - INFO - page:4, row:53
2023-09-24 15:35:06,426 - MHScrapper - INFO - page:4, row:54
2023-09-24 15:35:07,167 - MHScrapper - INFO - page:4, row:55
2023-09-24 15:35:07,878 - MHScrapper - INFO - page:4, row:56
2023-09-24 15:35:08,595 - MHScrapper - INFO - page:4, row:57
2023-09-24 15:35:09,311 - MHScrapper - INFO - page:4, row:58
2023-09-24 15:35:10,047 - MHScrapper - INFO - page:4, row:59
2023-09-24 15:35:10,780 - MHScrapper - INFO - page:4, row:60
2023-09-24 15:35:11,509 - MHScrapper - INFO - page:4, row:61
2023-09-24 15:35:12,217 - MHScrapper - INFO - page:4, row:62
2023-09-24 15:35:12,895 - MHScrapper - INFO - page:4, row:63
2023-09-24 15:35:13,614 - MHScrapper - INFO - page:4, row:64
2023-09-24 15:35:14,317 - MHScrapper - INFO - page:4, row:65
2023-09-24 15:35:15,043 - MHScrapper - INFO - page:4, row:66
2023-09-24 15:35:15,800 - MHScrapper - INFO - page:4, row:67
2023-09-24 15:35:16,531 - MHScrapper - INFO - page:4, row:68
2023-09-24 15:35:17,266 - MHScrapper - INFO - page:4, row:69
2023-09-24 15:35:17,985 - MHScrapper - INFO - page:4, row:70
2023-09-24 15:35:18,675 - MHScrapper - INFO - page:4, row:71
2023-09-24 15:35:19,419 - MHScrapper - INFO - page:4, row:72
2023-09-24 15:35:20,160 - MHScrapper - INFO - page:4, row:73
2023-09-24 15:35:20,882 - MHScrapper - INFO - page:4, row:74
2023-09-24 15:35:21,598 - MHScrapper - INFO - page:4, row:75
2023-09-24 15:35:22,315 - MHScrapper - INFO - page:4, row:76
2023-09-24 15:35:23,035 - MHScrapper - INFO - page:4, row:77
2023-09-24 15:35:23,731 - MHScrapper - INFO - page:4, row:78
2023-09-24 15:35:24,447 - MHScrapper - INFO - page:4, row:79
2023-09-24 15:35:25,162 - MHScrapper - INFO - page:4, row:80
2023-09-24 15:35:25,876 - MHScrapper - INFO - page:4, row:81
2023-09-24 15:35:26,581 - MHScrapper - INFO - page:4, row:82
2023-09-24 15:35:27,301 - MHScrapper - INFO - page:4, row:83
2023-09-24 15:35:28,016 - MHScrapper - INFO - page:4, row:84
2023-09-24 15:35:28,714 - MHScrapper - INFO - page:4, row:85
2023-09-24 15:35:29,423 - MHScrapper - INFO - page:4, row:86
2023-09-24 15:35:30,162 - MHScrapper - INFO - page:4, row:87
2023-09-24 15:35:30,886 - MHScrapper - INFO - page:4, row:88
2023-09-24 15:35:31,661 - MHScrapper - INFO - page:4, row:89
